Sample,Permutation,Spectral,shannon_entropy
2.797293126,2.1754858940000004,3.312163842,0.998981915
3.007590177,2.088010356,3.1543581130000002,0.9982370090000001
2.95183025,2.236082499,4.1355876469999995,0.9936620840000001
2.9427295769999997,1.99859469,2.826061175,0.9998684720000001
2.969999156,2.188951185,3.0733107289999997,0.9847941040000001
2.992460912,2.098380059,3.9098631160000004,0.999853957
2.9511056119999997,2.136905114,3.486743165,0.9999078190000001
2.86989785,2.011205264,2.10099288,0.979336113
2.682515364,2.150767098,2.024404044,0.999483453
2.671234513,2.066539642,2.990432461,0.998604826
2.976579268,2.108575605,2.868008487,1.000026539
2.8664557,2.154141487,3.517151253,0.9996911840000001
2.9185559989999996,2.146587544,3.021070367,0.99966011
2.9031922960000003,1.9978459680000002,3.3350353989999997,0.988674651
2.999581695,2.183898102,2.956513663,0.998573295
2.2375884559999997,2.100505802,3.3387908960000003,0.999783748
2.9487794899999997,2.091574998,2.02841528,0.999972633
2.9738716210000002,1.9296331830000002,3.38634131,0.990920474
2.85785613,2.084442416,1.7962625490000002,0.9965413190000001
2.87139571,2.139900565,3.702497988,0.935647333
2.84719108,2.177319499,2.728065219,0.999904106
2.789956693,2.145498457,3.448145129,0.999981407
2.9069041660000003,2.042869326,2.209555997,0.9997527090000001
2.949211089,2.073026049,3.098872188,1.000035341
2.942922126,1.8940235040000002,3.742659635,0.9982384000000001
2.970390693,2.179190674,2.74679362,0.977085215
2.795172198,1.9549335950000002,3.320346527,0.999056668
2.927346361,1.8232411800000001,1.906440806,0.9996859290000001
2.9541667019999998,2.169617772,3.039342216,0.999575491
2.9334446499999998,2.031573936,3.0682070230000003,0.9982282470000001
2.900755203,2.167830306,3.3854621560000004,1.000007444
2.8966584939999995,2.198673682,3.368508677,0.999637338
2.8203239589999995,2.083857569,3.244687364,0.998129605
2.997386776,2.177186656,3.2034582439999997,0.9875672270000001
2.85990997,2.11650759,3.668020375,0.999623755
2.8769484860000003,2.139174562,3.43890036,0.999852202
3.0219286019999996,2.116212698,2.472505192,0.9991901490000001
2.8294626419999998,2.016905537,2.23811585,0.993117792
2.946307303,2.213327934,2.37020897,0.9960044390000001
2.9674320069999998,2.0730415069999997,3.338033559,0.866374567
2.8853046969999996,1.901095612,2.8394311219999997,0.995731473
2.982389126,2.133850434,2.9207509089999997,1.000030901
2.959188012,1.9105884890000002,3.4593574680000003,0.9992968750000001
3.0000095489999996,2.183159668,2.8522561910000004,0.9962101240000001
2.95586557,2.099016464,3.918829839,0.999995051
2.666381638,1.9997979750000001,3.598752039,0.9993274140000001
2.8260840110000003,2.048346474,2.215741343,0.991371992
2.997934551,2.165551036,2.514327224,1.000039072
2.8638770689999995,1.855519987,2.895101525,0.998784451
3.0082660239999996,1.706415805,2.7740673030000003,1.000012868
2.7265468619999997,1.896855041,2.817370207,0.999871261
2.983586467,2.128830529,3.292260053,0.997282148
2.893037595,2.235356454,3.460794767,0.999762898
2.959125033,2.1835133140000003,3.8023159360000003,1.000039779
2.955466485,2.017948052,3.7939511710000002,0.999516323
2.990821445,2.085146017,3.200615195,1.000012431
2.990275886,2.105327678,2.395770724,0.99384278
2.942297908,2.160674292,2.8249891480000002,0.998302721
2.8801735989999995,2.119652971,3.779052302,0.999340096
2.913041826,2.039372512,3.4552773210000005,0.9969952590000001
2.9830478169999997,2.142003982,2.196150819,1.0000370779999999
2.9061608110000003,2.120652745,3.5206332780000005,0.998859493
2.653084104,2.021118935,2.697758205,0.9866348500000001
2.614631545,2.011674418,2.370845191,0.980150158
2.771582199,1.9622475430000001,2.713081261,0.995124818
2.83938102,1.8670618280000002,3.5645086810000004,0.9996129990000001
2.946830983,2.170782966,3.239347027,0.9998665409999999
2.881037062,2.228075371,2.9784455700000003,0.9927495840000001
2.9992031019999996,2.204136362,3.169601187,0.99903039
3.00360645,2.199941221,1.874148184,0.9998101650000001
2.9906281160000003,2.193152145,4.11586111,0.9940274790000001
2.901007482,2.133856928,4.0393866880000004,0.952475248
2.984343317,2.203068251,3.3887300430000002,0.9998236240000001
2.9730777839999996,2.1547099640000003,3.1342742610000003,1.0000279509999999
2.9546298889999996,2.13705784,3.735190269,0.9996799359999999
2.781626569,1.8799303760000001,3.6240408280000005,0.999977242
2.993864633,2.139349676,3.265960414,1.000006117
3.00299212,2.1811731730000004,3.5891434560000004,1.000035801
2.9705242889999997,2.051509613,3.952840002,1.00003794
2.9360679160000003,2.105471199,2.76642923,0.9996663140000001
2.942441459,2.177000628,3.9028726700000003,1.000028942
2.964896118,2.164372936,3.186000762,0.9989074880000001
2.9853593110000003,2.149499752,2.4803733980000002,0.9990653340000001
2.9632544899999997,2.165658365,3.5631977160000003,0.9992767800000001
2.9873076939999996,2.140503135,3.359369637,0.999721578
2.866282917,2.237745835,2.885985288,0.99977371
2.9931332889999998,2.052619501,3.300558177,0.977421646
2.881233027,1.845316205,3.2792456739999998,0.999617897
2.901582356,2.18446979,2.913001379,0.990146603
2.974458476,2.198793808,3.4038120980000004,1.0000397079999999
2.767744968,2.181817374,5.158490662,0.996056496
2.82666292,2.155516707,3.0837280280000003,0.98852268
2.9636012210000002,2.0027077280000003,2.50210904,0.995599207
2.9805628019999997,2.168587337,2.64430609,0.9914915440000001
3.0025279089999994,2.1575279050000002,3.117094184,0.999952481
2.968791876,2.178035035,3.9664218620000002,0.9984006790000001
2.77647137,2.090745642,3.6949031150000002,0.9974022650000001
2.8821948889999995,2.075973739,2.440925425,0.99914813
2.862738193,2.135718267,2.8847938550000003,0.99107513
2.7057636769999998,2.038793533,2.451083132,0.9999135840000001
2.984296287,2.1488210690000003,2.1071011090000002,0.9995365840000001
2.967703638,2.1000407269999997,2.685911296,0.967739538
2.9814917299999997,2.098182828,4.222728411,0.99679996
2.911656779,2.018008257,3.8576208080000005,0.9995719550000001
2.9009949889999995,1.976228885,2.9140706630000004,0.9902429990000001
2.773460214,2.021239102,2.7207850940000005,1.000031342
2.927951608,2.14262454,3.5211739160000004,0.9962821430000001
2.7673980449999998,2.034640895,2.6102145400000003,0.9996439240000001
